David,,"Reviewed in the United States on May 16, 2024","Not nearly as heavy as many people say (just dont use the weights).
Size and shape fantastic. Very good accuracy and sensitivity.
So many buttons if you need them but you can also turn them off if you don't.
Scrolling wheel a little bit noisy but satisfying sound.
Good battery duration for all the features.
GHUB offers an insane amount of customization for the keys. From copying, pasting to opening programs and even instantly typing paragraphs with the press of a button.
Just outstanding 10/10."
Jeezus,,"Reviewed in the United States on June 19, 2024",As perfect as my 502 hero wired. Only thing i dont like is no more metal infinity wheel 😔
Katie,,"Reviewed in the United States on April 28, 2024","After repairing my G602 for the last year, I was strongly encouraged to upgrade to a current model. So happy I did just for the simple fact the lights on this G502 align with the lights on my G519 keyboard. Not ideal for work but a welcome distraction for when I need it. I thought I would miss the number of buttons on my G602 but realized I only needed 5 additional. The side to side push on the scroll wheel is great for backspace and delete."
George X,,"Reviewed in the United States on April 27, 2024","I have been using this mouse for over two years now. It's got the right combination of weight (adjustable), precision, and latency. I use it primarily for work but also do gaming. Battery life is usually good for 2-3 weeks of using the mouse 3-4 hours a day. Paired with the Logitech wireless keyboard, it helps me keep a wire-free desk."
Nick Haddad,,"Reviewed in the United States on April 23, 2024","A lot of ""reviews"" put this at ""upper mid range"" behind the Razer Viper V2. Let me tell you this, if you have ever used Razer's software, you know that is false. Logitech knows what they are doing with peripherals. Lightweight, fast, great battery life, 0 lag. You can't lose with this one"
Joe,,"Reviewed in the United States on May 14, 2024",It really applies the ease of use and universal efficiency of a gaming controller to a PC mouse.
David Harbour,,"Reviewed in the United States on May 9, 2024","I added all the weights included and I like the feel. It could stand to be a bit heavier imo, but it’s nicely balanced as it is."
Jose B.,,"Reviewed in the United States on May 4, 2024","whether you want it for gaming, drawing, work, etc this mouse will fit your needs..
i just opened mine and i was surprised on how well its built it feels super comfortable while using it.
to me it feels ligthweigth and tht could be a good thing for many persons but if you dont like it ligthweigth it comes with extra weigths that you can put on.
overall great mouse 5 star definetly !!"
Brandon,,"Reviewed in the United States on April 28, 2024","Just waiting for it to go on sale so I can buy another couple to keep as backups. By far the most reliable, comfortable mouse I've owned."
Tim S.,,"Reviewed in the United States on March 8, 2024","This mouse is perfect especially when you pair it when the other Logitech products like the keyboard and mouse powerplay pad. The wheel clicking as you scroll take a little getting used to. You can turn it off, but then the wheel has way too much movement. But, it only took me about 15 minutes to get used to it after adjusting the DPI to the perfect speed for me. It's the perfect weight already but you can add the additional weight if you want. I didn't need it since I put the powerplay battery in it. My advice is get all of the Logitech items together and pair up them up using the software. It's great."
Sherry,,"Reviewed in the United States on May 8, 2024",For my video games it's very helpful
Ryan Williams,,"Reviewed in the United States on April 24, 2024","Best bang for your buck mouse it’s nice and light, latency is non issue and excellent battery life. Couldn’t recommend it more"
Yusnaan1838,,"Reviewed in the United States on March 7, 2024","I like this mouse. It works for my gaming while hanging out on the couch with my wife. The colors are nice when they work and don't seem to drain the battery too quickly. The only issue I have with this mouse if that the Logitech software used to program the lights and such is buggy and doesn't communicate with the mouse all the time. Seems to be a common problem with some of these gaming mice, as the old Roccat mouse I used to use had the same software issues. I would buy this mouse again."
David Swenson,,"Reviewed in the United States on November 11, 2020","Ergonomics:
Size wise I have medium hands for a man. I came from using a Razer Deathadder 2013 for the last 7 years and the fit and feel is very similar. I would say to best use the G502’s buttons I’m shifting my hold position up a little more on the mouse but ergonomically it feels just as good.

Latency:
Can’t tell the difference between a wired mouse. I’m using the highest report rate which uses the most battery but I’m okay with the trade off.

G HUB:
If you’re having problems you might be using it wrong. You don’t even need it on your computer after you set up the mouse profile (a tip later), or you can have it set up to not startup with the computer and leave it on there to tweak when you want. Best of both worlds. In G HUB you can program all the buttons, lighting effects and intensity (to save some battery life, I use 44%) and most importantly dpi, as well as the dpi shift speed which I really kind of love. Now there will be people out there saying “I transferred my profile onto the onboard memory, it’s not holding it right when I start up I have to open G HUB to get my mouse acting right DPI setting wise”. That’s all user error. In the program by default there are 3 DPI settings in white, which are meant to be what you adjust through with the dpi buttons up and down if you want that. Most people don’t want or need that and on startup it goes to the lowest setting. G HUB could make this more clear because I don’t know why you would want to shift through DPI so often anyways. Regardless delete the other two and leave a single white DPI setting and a yellow DPI shift setting. At startup of the mouse/computer your DPI will be as expected without having to open G HUB. What happens when you do it no longer goes to lowest DPI option but instead goes to the one it was set to. Copy profile over to onboard and never use the program again, delete it or leave it, disable auto startup so it doesn’t mess with PC performance. It’s up to you and I can’t fault this at all. It flat out works however you want it to.

Overall:
Happy to have made the switch to this mouse. I was torn between Razer and Logitech and you probably can’t go wrong with either but I have no experience with Razer wireless. A docking station that isn’t the PowerPlay mat would be nice though. Razer having that is nice from a desk/wire clutter standpoint and frankly the PowerPlay mat is too small. As an engineer that does 3D modeling and a PC gamer at night this mouse performs great."
A. Long,,"Reviewed in the United States on November 2, 2023","So, I was about to give this mouse a 3/5, specifically for the wonky and irritating mouse wheel. But then I said, ""You had better know everything about this mouse before writing a review.""

The mouse wheel was just...weird. It was different than a mouse where you would expect it to have some detent to its scrolling. The wheel in the G502 was free! You could whip that sucker into a spin and it would stay spinning for half an hour. This was problematic for precise scrolling because it never stayed put. In my exploration of the mouse, I found this somewhat crunchy button right behind the scroll wheel. Didn't really bother to figure out what it did. I pressed it a couple times and told myself, ""I'll learn what that button does one day"".

Well, it's the scroll mode button for the wheel. Click it, the wheel is free. Click it again, the wheel has detents so you can scroll one line at a time. Lesson learned, read about what you buy! Now that I know about this, 5/5 mouse.

Not much to say about the other features. Logitech mice are just good. I like the button positioning, the precision of the optics, and battery life is decent for something that lights up.

Only thing that would detract points is that the charging port in the mouse is Mini-USB, and not USB-C. But hey, you and I still have a mess of Mini-USB cables shoved into your kitchen junk drawer."
Megen W,,"Reviewed in the United States on June 13, 2020","I've been using a Logitech G502 Proteus Core for a couple of years, and I've been wanting a wireless mouse for ages however, I had been hesitant to switch to anything else because I loved that G502 Proteus Core.

Then, this mouse came out. I knew it was time to upgrade. I get a mouse that looks, feels and performs identically to my Proteus Core. No, scratch that, BETTER than my Proteus Core. Except now no more wire wrangling. No more wire catching on the edge of a table or needing to tape it down. Except the sensor is faster and better than my G502PC, and the wireless mouse is somehow LIGHTER than the wired version. What kind of space age magic is this!?

When I got it at first, I was actually a little disappointed. I had been excited for this new, fancy mouse that was going to step my game up. But then I got it and it just felt exactly like my old one. It felt like nothing has changed. The wait to use it came to a somewhat anticlimactic end.

But then I thought about it and realized..... IT FEELS EXACTLY LIKE MY OLD ONE. I got literally exactly what I loved before, but this time with RGB lighting and no cord! What had I expected? I got literally exactly what I wanted, and it felt like home.

And the battery life, of my goodness, the battery life. I've been using this mouse since mid Early/mid-May. I probably use my mouse for about 1 to 4 hours a day, sometimes every other day depending on schedule. I charged this mouse to 100% on my first day of ownership. I haven't charged it since, and my battery currently reads 64%. Incredible. Over a month of regular and consistent use, with lighting on (at about 60-75% brightness, purple) and I haven't even gotten it to half charge. That tells me I've probably got another month or so of battery life to go!

I have been BEYOND satisfied with this mouse. I only had one minor hiccup. Initially I put the wireless receiver in the rear of the tower, straight into the motherboard's primary USB 3 port. Unfortunately, I noticed that I would get occasional stuttering and hitching with the mouse cursor. After a bit I noticed that it only happened when my cell phone was on my computer desk in front of my mousepad. I relocated the receiver to the USB3 slot on my Corsair K60 keyboard, problem solved. I haven't had one stutter or hitch since. I think my cell phone's WiFi signal was causing some form of interference. I could reproduce the problem with my cell phone location every time, so I'm confident in what the issue was.

BEYOND satisfied with this product. If you have ever used any of the Logitech G502 line - or mice of a similar shape - this product is an absolute NO BRAINER purchase."
Kimberly R. Neal,,"Reviewed in the United States on April 18, 2024",My grandson researched quite a bit and found this one. So I bought it for him as a Christmas gift. He loves it!!!!
Hunter,,"Reviewed in the United States on April 5, 2024","After my cat chewed through the cable or my wired one, I decided to go with the wireless variant. It's extremely comfortable, very responsive and pairs with an app where you can set the DPI manually. All in all, amazing"
Amazon Customer,,"Reviewed in the United States on March 19, 2024","I work at home and after will usually play some games, or will complete some side jobs from home on the computer, ive gone hours and hours using this mouse. its never died on me while using it and charge it every 3-4 days. its an absolute joy to use and would buy another if necessary. oh and if you can get your self the charging dock/stand you wont regret it"
Culbrelai,,"Reviewed in the United States on September 22, 2023","I am a long time Logitech user for every mouse since I really started getting into computers many years ago. I was an owner of the legendary MX518, which lasted an extremely long time for a heavily used mouse (10 years or so) and since the G502 is the successor I gave it a shot and am not disappointed.

It has 9 buttons which makes it excellent for gaming, particularly FPS games where you can bind the usual things to the extra buttons such as throw grenade/change weapon and so on.

Some mice are so heavy they cause hand fatigue and pain with extended gaming sessions, with this mouse I have not noticed that at all, and I play computer games for long bursts of time, 5 hours, even 10 hours at maximum with no strain or pain. It also comes with different weights so you can change them out if you experience fatigue from the weight of the mouse, but I was fine with the default settings.

Certain mice, or rather the material they are made of, causes certain people to have their hands sweat when using it. I have had this occur with other mice, but not with this one (nor any other logitech mice I had mentioned using in the past)

Overall, it feels just as high quality and durable as the MX518, with modern touches."
theCavalier,,"Reviewed in the United States on January 8, 2021","When the G903 came out, I was pretty stoked. Lots of new technology and promise all packed into one platform, and great reviews. It turns out that no matter how good a mouse is, one compromise can turn it into a nightmare. It also turns out that if you put switches into a mouse that quickly start double-firing is pretty bad too, but I digress. The compromise that ruined the G903 for me was making it ambidextrous. ""What?"" you say, ""that's not a bad thing!"" Well, I reply, take your hands, and lay them on a flat surface in front of you, and relax. What do you feel? Unless you are not built like most, you'll find that the weight of your hand rests more on one side of your palm; Left side for the left, and right side for the right. So, when you make a mouse ambidextrous, you make a mouse with a symmetric profile. It didn't take long before I realized that I wasn't going to be able to keep my hand on the mouse in a gaming hold for very long before cramps started in. It was like having someone twist my wrist. So, despite the great stuff they put into this thing, it would have been infinitely better to create a left and right handed version.

Enter the revamped G502! My corded version of this mouse is still in use in my household more than a decade after I first bought it, but I'm looking for a wireless mouse for reasons I need not go into. I can say now that they seem to have brought all the good stuff from the G903 to the G502 Hero Lightspeed. The wheel that used to bug me because it was so stiff on the first G502 now feels much more like the G903. It's even a bit easier to spin and side-click. The DPI buttons (which are still in an awkward place, which is why it's still just ""near perfection"") are no longer mushy, so that's a plus, and of course it's wireless, has the updated sensors, will work on my Lightspeed mat, and, just for the 'shiny' factor, had a full RGB logo. The parts that made this mouse the most popular gaming mouse (Logitech IMHO EVER made) are still there.

So, when, my gamer friends, you are trying to pick between the two, let me urge you to save yourself what may be a hundred dollar mistake, and pass the G903 over for the reliable old G502 form with the new G903 technology built in. You'll thank me later."
Heavy duty mechanic,,"Reviewed in the United States on February 27, 2024","I use this mouse for work in a space i cannot use the software that is supposed to be used for the mouse so having onboard profiles is amazing and i love it the battery life last me over a week with the RGB lights on it is an amazing mouse and i would recommend for anyone working on a computer or gaming.

the only thing that i would change is the weights i think they could be designed to put in easier"
Robert Aguilar,,"Reviewed in the United States on November 17, 2023","This Logitech G502 makes for a great competitive mouse, in my opinion!!! For someone whose looking for there first mouse I would highly recommend this mouse.

1. It’s wireless and low latency. If you wish to play wired the option is always there aswell. Having the ability to choose between the two is a plus.

2. The software interface allows you to change every button on the mouse being able to change the G-Shift button, DPI UP, & DPI DOWN mouse buttons to any key you’d like to or and action. You can create profiles for certain games or keep them all the same to have have maximum control of your experience with this mouse

3. The aggressive looking mouse goes nice with any setup. This mouse has some RGB options but not like other mice that target that RGB look.

4. The weights that come with the product are nice for those who like heavier mice!!

Overall rating of the mouse 9/10 only because I don't have to much experience with other mice other than this one."
Harvey,,"Reviewed in the United States on April 6, 2024","I replaced my wired g502 with this and wish I had sooner. Awesome battery life, can be used wired or unwired. Very lightweight. Love this mouse."
Wesley Allen,,"Reviewed in the United States on January 18, 2024","Set up was kind of a pain in the butt, you’re required to use a program to set up the keys for gaming in order for the mouse to really be used as intended.

However, wanted to set up the mouses, excellent way better than using a controller and way better than the other mouses that I’ve tried before!

Key clicks are very positive, and the options are endless for setting it up and the order that you want it. I will definitely be getting another one when this one dies."
Hozen,,"Reviewed in the United States on May 25, 2022","This mouse is a solid upgrade over what I had used for daily use. I've had the Logitech G603 (very heavy, not many buttons) and the Razer Basilisk Hyperspeed Wireless (would cut in and out for no reason) and this G502 just takes the cake. I've been using this daily for quite awhile now and I can't find any down sides. The software makes everything configurable and the vast array of well placed buttons makes this mouse great for gaming as well as just day to day use. The rechargeable battery is a big plus (I'm so done with rechargeable AAs) and the battery life is better than expected. My only small gripe is with the software in that you have to upload your profile to the mouse if you don't want the weird dpi change on wake. Just an odd thing that, makes sense, but really should be better laid out in their software or maybe just done by default behind the scenes. Otherwise, this mouse fits my hand very well (I'm 6'1"" and fairly average) and has a thumb shelf which I very much prefer. Compared to the Razer, it looks similar of course, but the quality and use don't really compare. The razer would cut out at random times for no reason and that seems to be a well documented issue across many of their mice. As for a comparison between the G502 and G603, just spend the money on the G502... you won't regret it. The G603 is very very heavy and I am not someone who generally cares about a super light mouse. It's just a chonk. Plus, AA batteries vs the G502s internal rechargeable. My only wish is that their was a white version, but the black matches nicely with the rest of my peripherals."
Michael Chaloupka,,"Reviewed in the United States on August 15, 2023","I previously had the wired G502 mouse that finally died on me, so I decided to go all in on getting wireless peripherals. This works just as great as my wired version did, the fit and feel is perfect for my hands. The build quality is excellent. The battery is impressive, I only charged it once every couple weeks (that's partially due to me not playing as much games as I used to). Should you find the battery is dead, you can use it ""wired"" while it's charging just the same as any other wired only mouse.

Honestly I only have one complaint and that is that the charging port is micro USB instead of USB C. I think it's ridiculous to charge this much money and to be using such an old form factor and I hate that I have to keep one of these cables on hand for it. That said the cable that is provided is perfectly fine and I keep it caught at the edge of my desk so it's not laying on my desk and I can grab it to use when I do need to charge the mouse."
Inés R.,,"Reviewed in the United States on April 3, 2024","Me encanta, es maravilloso, cumplió todas mis expectativas."
chris,,"Reviewed in the United States on January 20, 2024","just got it leave a edit later. would of like a notice of g hub. i ran a risk of down loading it at a "" Logitech "" site i got off this order. i didnt know tell i saw and read the whole order of this product .i also like how u can turn of the lights to save battery.also the weights."
Jenny Hoang,,"Reviewed in the United States on February 28, 2024",Love it’s ergonomics and speed. I bounce back and forth between wireless and plugged to cycle battery. I have a wired version I love just as much. Very nice mouse
Holly Prause,,"Reviewed in the United States on February 20, 2024","I got some big hands and this mouse fits well.
Good selection of buttons but not way to many. Battery life is good. I charge it weekly and play 4 to 8 hours a day"
Adam M,,"Reviewed in the United States on October 31, 2023","I absolutely love the G502. This is the 2nd I've purchased and been using these specifically for the last 4 years. In combination with the Powerplay, it charges itself perfectly and the play never stops. It is a bit on the heavy side, even without the added weights included in the accessories. The Lightspeed connection is absolutely perfect, have had zero issues with this mouse whatsoever. The only caveat is that these mice are susceptible to issues over long time use, just as any other mice. I replaced my original G502 because I was getting the double click issues, but it was also 3ish years old. Regardless, I would absolutely recommend this mouse to others."
Steve G.,,"Reviewed in the United States on November 20, 2023","Despite any worry about wireless vs wired for gaming, I have not noticed any difference in Latency. I love that I am no longer snagging the cable on things as I move the mouse. The battery life is great and if you do run out of battery during use, you can plug it in VIA the usb and it will still function like a wired mouse while charging."
hoof_hearted4,,"Reviewed in the United States on August 12, 2023","No other mouse has this number of buttons exactly. Most have less, a few have more, but this has exactly the number I need. For Guild Wars 2 I use all 9 exactly. I used a Logitech G600 before this with all the buttons, but never had use for them all, and they havent updated that design with their new tech in a while. I had a wired version of this mouse, but was using a laptop to stream my gaming PC for a little bit, so I needed a wireless mouse. And have now replaced my wired mouse (will keep it as a spare). Only issue is that the charging port is tucked away, so if your USB cable has any sort of hood or thickness, it probably wont fit. Also, is should be USB-C at this point."
Juray,,"Reviewed in the United States on August 11, 2023","I've had this mouse for so long and i had the wired version before this, was just looking to go wireless. The mouse is nice and light, but not too light. The battery life is crazyy. I've had this mouse for a long long time and it's hooked up to my ps5. I dont get to use all the functions on the ps5 but since i've plugged it in, I haven't charged it once. I just flip the switch off. I even forget to turn the mouse off sometimes and the next day i realize i left it on but it's still going strong off the one charge its had. I'm amazed, i was thinking about getting the charging mouse pad but there's no need."
Nate Peres,,"Reviewed in the United States on March 23, 2024",really really fast
dimehnd,,"Reviewed in the United States on January 4, 2024",I loved the wired version of this mouse but the wireless version... omg. this is amazing i love it so much. Long battery life and all the same functions as the wired version of this mouse. Literally what more could logitech do to improve. This is a top tier mouse in all respects. I also got it on sale.
BM,,"Reviewed in the United States on August 8, 2021","When my G700s started to randomly disconnect, I thought it was something with it being wireless, but when it continued that while plugged in, I knew I had to replace it. Battery life had always been an issue for me, but nothing beats a wireless mouse, so for a while, I got my on a standard M310, it was fine, but it lacked the comforts of the multiple buttons (which I actually use inside and outside of games) as well as easily tuning the DPI on the fly.

So I took a look around the market, I figured I would have to go back to a wired gaming mouse until I came across PowerPlay. Wireless changing while in use? Sign me up! Now I haven't bought the mouse pad yet, but with the current life I am getting out of my mouse, I'm wondering if I will even need to. This mouse is better than my old mouse in every way, it's so light it almost made me wonder if they had added some helium into it to make it lighter. It's battery life goes on for multiple days and all while having an RBG led on top of it. I don't know how Logitech pulled this off.

I will update this (or just review the Powerplay system on that purchase) if I decide to purchase the powerplay, but honestly, I expect this mouse to last me for years. The only issue (though not for me) is if you have large hands, it might be on the small side, but it's almost perfect sized for me if I rest my palm further back so I'm fine with it."
Santiago d.,,"Reviewed in the United States on March 7, 2024",Just like the wired one but without the wire. Just perfect
